0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134
"[{'Founders:': 'Nikki Durkin'}, {'Country:': 'Australia'}, {'Industry:': 'e-Commerce'}, {'Started in:': '2010'}, {'Closed in:': '2014'}, {'Nº of employees:': '1-10'}, {'Funding Amount:': '< $1M'}, {'Specific cause of failure:': 'Multiple Reasons'}]","[{'Founder:': 'Ana Santos'}, {'Country:': 'Australia'}, {'Industry:': 'Travel'}, {'Started in:': '2014'}, {'Closed in:': '2015'}, {'Funding Amount:': '$0'}, {'Specific cause of failure:': 'Bad Business Model'}]","[{'Founder:': 'David Desi'}, {'Country:': 'Australia'}, {'Industry:': 'Entertainment'}, {'Started in:': '2013'}, {'Closed in:': '2017'}, {'Funding Amount:': '< $100K'}, {'Specific cause of failure:': 'Lack of Funds'}]","[{'Founder:': 'Mathew Carpenter'}, {'Country:': 'Australia'}, {'Industry:': 'Software & Hardware'}, {'Started in:': '2008'}, {'Closed in:': '2009'}, {'Funding Amount:': '$0'}, {'Specific cause of failure:': 'Legal Challenges'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[{'Founders:': 'Adrien Roose, Chloé Roose, Jean-Christophe Libbrecht, Karim Slaoui'}, {'Country:': 'Belgium'}, {'Industry:': 'Food & Beverage'}, {'Started in:': '2013'}, {'Closed in:': '2016'}, {'Nº of employees:': '100-250'}, {'Funding Amount:': '$10M-$50M'}, {'Specific cause of failure:': 'Competition'}]","[{'Founder:': 'Pierre Tillement'}, {'Country:': 'Belgium'}, {'Industry:': 'Software & Hardware'}, {'Started in:': '2017'}, {'Closed in:': '2020'}, {'Funding Amount:': '$100K-$500K'}, {'Specific cause of failure:': 'No Market Need'}]","[{'Founder:': 'Toby Allen'}, {'Country:': 'Belgium'}, {'Industry:': 'Software & Hardware'}, {'Started in:': '2016'}, {'Closed in:': '2017'}, {'Funding Amount:': '$0'}, {'Specific cause of failure:': 'No Market Need'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[{'Founder:': 'Kyril Kotashev'}, {'Country:': 'Bulgaria'}, {'Industry:': 'Entertainment'}, {'Started in:': '2018'}, {'Closed in:': '2020'}, {'Funding Amount:': '< $100K'}, {'Specific cause of failure:': 'Bad Market Fit'}]","[{'Founder:': 'Ivaylo Kalburdzhiev'}, {'Country:': 'Bulgaria'}, {'Industry:': 'Software & Hardware'}, {'Started in:': '2012'}, {'Closed in:': '2015'}, {'Funding Amount:': '< $100K'}, {'Specific cause of failure:': 'No Market Need'}]","[{'Founder:': 'Stefan Vladimirov'}, {'Country:': 'Bulgaria'}, {'Industry:': 'Productivity'}, {'Started in:': '2013'}, {'Closed in:': '2019'}, {'Funding Amount:': '< $100K'}, {'Specific cause of failure:': 'Bad Market Fit'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[{'Founders:': 'McGrath, Michael Curry'}, {'Country:': 'Canada'}, {'Industry:': 'Analytics'}, {'Started in:': '2012'}, {'Closed in:': '2012'}, {'Nº of employees:': '1-10'}, {'Funding Amount:': 'No Data'}, {'Specific cause of failure:': 'Lack of Funds'}]","[{'Founders:': 'Brett Hagman, Jeremy Bell, Peter Nitsch'}, {'Country:': 'Canada'}, {'Industry:': 'Software & Hardware'}, {'Started in:': '2014'}, {'Closed in:': '2015'}, {'Nº of employees:': '50-100'}, {'Funding Amount:': '< $1M'}, {'Specific cause of failure:': 'No Market Need'}]","[{'Founder:': 'Adam Bard'}, {'Country:': 'Canada'}, {'Industry:': 'Software & Hardware'}, {'Started in:': '2013'}, {'Closed in:': '2018'}, {'Funding Amount:': '$0'}, {'Specific cause of failure:': 'Bad Marketing'}]","[{'Founder:': 'Steven Long'}, {'Country:': 'Canada'}, {'Industry:': 'Food & Beverage'}, {'Started in:': '2014'}, {'Closed in:': '2016'}, {'Funding Amount:': '$0'}, {'Specific cause of failure:': 'Legal Challenges'}]","[{'Founder:': 'Kaito Cunningham'}, {'Country:': 'Canada'}, {'Industry:': 'Education'}, {'Started in:': '2018'}, {'Closed in:': '2020'}, {'Funding Amount:': '$0'}, {'Specific cause of failure:': 'Bad Management'}]","[{'Founder:': 'Tom Zaragoza'}, {'Country:': 'Canada'}, {'Industry:': 'Software & Hardware'}, {'Started in:': '2017'}, {'Closed in:': '2018'}, {'Funding Amount:': '$0'}, {'Specific cause of failure:': 'No Market Need'}]","[{'Founder:': 'Charlie Reese'}, {'Country:': 'Canada'}, {'Industry:': 'Software & Hardware'}, {'Started in:': '2017'}, {'Closed in:': '2018'}, {'Funding Amount:': '$0'}, {'Specific cause of failure:': 'Poor Product'}]","[{'Founder:': 'Kirill Vechtomov'}, {'Country:': 'Canada'}, {'Industry:': 'Software & Hardware'}, {'Started in:': '2015'}, {'Closed in:': '2017'}, {'Funding Amount:': '$0'}, {'Specific cause of failure:': 'No Market Need'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[{'Founders:': 'David Björklund, Peter Vilsholm Therkildsen, Sylwia Erhardt-Bednarska, Søren Holbech Nielsen'}, {'Country:': 'Denmark'}, {'Industry:': 'Marketing'}, {'Started in:': '2011'}, {'Closed in:': '2013'}, {'Nº of employees:': '1-10'}, {'Funding Amount:': '< $1M'}, {'Specific cause of failure:': 'Lack of Funds'}]","[{'Founders:': 'Mircea Gabriel Eftemie'}, {'Country:': 'Denmark'}, {'Industry:': 'Music'}, {'Started in:': '2014'}, {'Closed in:': '2015'}, {'Nº of employees:': '1-10'}, {'Funding Amount:': '< $1M'}, {'Specific cause of failure:': 'Multiple Reasons'}]","[{'Founders:': 'Joachim Rørbøl, Kenneth Svenningse'}, {'Country:': 'Denmark'}, {'Industry:': 'e-Commerce'}, {'Started in:': '2014'}, {'Closed in:': '2016'}, {'Nº of employees:': '10-50'}, {'Funding Amount:': '$1M-$10M'}, {'Specific cause of failure:': 'Multiple Reasons'}]","[{'Founder:': 'Holger Sindbaek'}, {'Country:': 'Denmark'}, {'Industry:': 'Productivity'}, {'Started in:': '2019'}, {'Closed in:': '2021'}, {'Funding Amount:': '$0'}, {'Specific cause of failure:': 'Bad Marketing'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[{'Founders:': 'Alexander Gilkes, Alexander Zacke, Georg Untersalmberger, Susanne Zacke'}, {'Country:': 'Germany'}, {'Industry:': 'e-Commerce'}, {'Started in:': '2012'}, {'Closed in:': '2017'}, {'Nº of employees:': '250-500'}, {'Funding Amount:': '> $50M'}, {'Specific cause of failure:': 'Legal Challenges'}]","[{'Founders:': 'Schuyler Deerman'}, {'Country:': 'Germany'}, {'Industry:': 'Social Media'}, {'Started in:': '1998'}, {'Closed in:': '2014'}, {'Nº of employees:': '10-50'}, {'Funding Amount:': '$1M-$10M'}, {'Specific cause of failure:': 'No Market Need'}]","[{'Founder:': 'Andy Goldschmidt'}, {'Country:': 'Germany'}, {'Industry:': 'Analytics'}, {'Started in:': '2015'}, {'Closed in:': '2016'}, {'Funding Amount:': '$0'}, {'Specific cause of failure:': 'No Market Need'}]","[{'Founder:': 'Jan Johannes'}, {'Country:': 'Germany'}, {'Industry:': 'Software & Hardware'}, {'Started in:': '2011'}, {'Closed in:': '2016'}, {'Funding Amount:': '< $100K'}, {'Specific cause of failure:': 'Bad Management'}]","[{'Founder:': 'Michael Hebenstreit'}, {'Country:': 'Germany'}, {'Industry:': 'Entertainment'}, {'Started in:': '2013'}, {'Closed in:': '2014'}, {'Funding Amount:': '$0'}, {'Specific cause of failure:': 'Competition'}]","[{'Founder:': 'Aazar Shad'}, {'Country:': 'Germany'}, {'Industry:': 'Transportation'}, {'Started in:': '2014'}, {'Closed in:': '2016'}, {'Funding Amount:': '$0'}, {'Specific cause of failure:': 'Bad Marketing'}]","[{'Founder:': 'Fabian Tausch'}, {'Country:': 'Germany'}, {'Industry:': 'Education'}, {'Started in:': '2018'}, {'Closed in:': '2020'}, {'Funding Amount:': '$0'}, {'Specific cause of failure:': 'Bad Market Fit'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[{'Founders:': 'Monica Rastogi, Shashaank Shekhar Singhal'}, {'Country:': 'India'}, {'Industry:': 'Food & Beverage'}, {'Started in:': '2015'}, {'Closed in:': '2016'}, {'Nº of employees:': '10-50'}, {'Funding Amount:': 'No Data'}, {'Specific cause of failure:': 'Competition'}]","[{'Founders:': 'Abhishek Gupta, Nikunj Jain'}, {'Country:': 'India'}, {'Industry:': 'Social Media'}, {'Started in:': '2014'}, {'Closed in:': '2016'}, {'Nº of employees:': '50-100'}, {'Funding Amount:': '< $1M'}, {'Specific cause of failure:': 'Lack of PMF'}]","[{'Founders:': 'Animesh Chaudhary, Harsha Nallur, Mohsin Dingankar'}, {'Country:': 'India'}, {'Industry:': 'Travel'}, {'Started in:': '2013'}, {'Closed in:': '2017'}, {'Nº of employees:': '1-10'}, {'Funding Amount:': '< $1M'}, {'Specific cause of failure:': 'Competition'}]","[{'Founders:': 'Aditya Naik, Rahul Raj, Rakesh Yadav'}, {'Country:': 'India'}, {'Industry:': 'Finances'}, {'Started in:': '2017'}, {'Closed in:': '2019'}, {'Nº of employees:': '50-100'}, {'Funding Amount:': 'No Data'}, {'Specific cause of failure:': 'Legal Challenges'}]","[{'Founders:': 'Pritesh Sankhe, Tarkeshwar Singh, Yash Kotak'}, {'Country:': 'India'}, {'Industry:': 'Software & Hardware'}, {'Started in:': '2014'}, {'Closed in:': '2015'}, {'Nº of employees:': '1-10'}, {'Funding Amount:': 'No Data'}, {'Specific cause of failure:': 'Lack of Experience'}]","[{'Founders:': 'Milind Sharma, Navneet Singh'}, {'Country:': 'India'}, {'Industry:': 'Food & Beverage'}, {'Started in:': '2014'}, {'Closed in:': '2016'}, {'Nº of employees:': '1,000-5,000'}, {'Funding Amount:': '> $50M'}, {'Specific cause of failure:': 'Poor Product'}]","[{'Founders:': 'Suresh John'}, {'Country:': 'India'}, {'Industry:': 'Travel'}, {'Started in:': '2014'}, {'Closed in:': '2017'}, {'Nº of employees:': '100-250'}, {'Funding Amount:': '$1M-$10M'}, {'Specific cause of failure:': 'Lack of Funds'}]","[{'Founders:': 'Amit Gupta, Pardeep Goyal'}, {'Country:': 'India'}, {'Industry:': 'Education'}, {'Started in:': '2013'}, {'Closed in:': '2014'}, {'Nº of employees:': '1-10'}, {'Funding Amount:': '$0'}, {'Specific cause of failure:': 'Lack of Experience'}]","[{'Founders:': 'Rupal Yogendra, Sachit Singhi, Sachit Singhi, Yogendra Vasupal'}, {'Country:': 'India'}, {'Industry:': 'Travel'}, {'Started in:': '2005'}, {'Closed in:': '2017'}, {'Nº of employees:': '250-500'}, {'Funding Amount:': '$10M-$50M'}, {'Specific cause of failure:': 'Lack of Focus'}]","[{'Founders:': 'Arnav Kumar, Himangshu Hazarika'}, {'Country:': 'India'}, {'Industry:': 'Transportation'}, {'Started in:': '2014'}, {'Closed in:': '2016'}, {'Nº of employees:': '10-50'}, {'Funding Amount:': '$1M-$10M'}, {'Specific cause of failure:': 'Bad Business Model'}]","[{'Founder:': 'Chetan Vashistth'}, {'Country:': 'India'}, {'Industry:': 'Education'}, {'Started in:': '2013'}, {'Closed in:': '2014'}, {'Funding Amount:': '$0'}, {'Specific cause of failure:': 'Mismanagement of Funds'}]","[{'Founder:': 'Deepak Murthy'}, {'Country:': 'India'}, {'Industry:': 'Transportation'}, {'Started in:': '2017'}, {'Closed in:': '2017'}, {'Funding Amount:': '< $100K'}, {'Specific cause of failure:': 'Lack of Funds'}]","[{'Founder:': 'Tarun Gupta'}, {'Country:': 'India'}, {'Industry:': 'e-Commerce'}, {'Started in:': '2018'}, {'Closed in:': '2020'}, {'Funding Amount:': '$0'}, {'Specific cause of failure:': 'Bad Management'}]","[{'Founder:': 'Maxim Dsouza'}, {'Country:': 'India'}, {'Industry:': 'Software & Hardware'}, {'Started in:': '2010'}, {'Closed in:': '2016'}, {'Funding Amount:': '$100K-$500K'}, {'Specific cause of failure:': 'Lack of Funds'}]","[{'Founder:': 'Jasmeet Singh'}, {'Country:': 'India'}, {'Industry:': 'Software & Hardware'}, {'Started in:': '2017'}, {'Closed in:': '2017'}, {'Funding Amount:': '$0'}, {'Specific cause of failure:': 'Bad Business Model'}]","[{'Founder:': 'Naveen Mishra'}, {'Country:': 'India'}, {'Industry:': 'Transportation'}, {'Started in:': '2014'}, {'Closed in:': '2016'}, {'Funding Amount:': '$0'}, {'Specific cause of failure:': 'Lack of Funds'}]","[{'Founder:': 'Amit Gogia'}, {'Country:': 'India'}, {'Industry:': 'Food & Beverage'}, {'Started in:': '2014'}, {'Closed in:': '2015'}, {'Funding Amount:': '$0'}, {'Specific cause of failure:': 'Competition'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[{'Founders:': 'Danny Taniwan'}, {'Country:': 'Indonesia'}, {'Industry:': 'e-Commerce'}, {'Started in:': '2014'}, {'Closed in:': '2015'}, {'Nº of employees:': '1-10'}, {'Funding Amount:': '< $1M'}, {'Specific cause of failure:': 'Lack of Experience'}]","[{'Founder:': 'Andrew Kamphey'}, {'Country:': 'Indonesia'}, {'Industry:': 'Analytics'}, {'Started in:': '2018'}, {'Closed in:': '2019'}, {'Funding Amount:': '$0'}, {'Specific cause of failure:': 'Dependence on Others'}]","[{'Founder:': 'Natagon'}, {'Country:': 'Indonesia'}, {'Industry:': 'Software & Hardware'}, {'Started in:': '2018'}, {'Closed in:': '2019'}, {'Funding Amount:': '$0'}, {'Specific cause of failure:': 'Lack of Focus'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[{'Founder:': 'Enrique Benitez'}, {'Country:': 'Mexico'}, {'Industry:': 'Software & Hardware'}, {'Started in:': '2017'}, {'Closed in:': '2017'}, {'Funding Amount:': '$0'}, {'Specific cause of failure:': 'No Market Need'}]","[{'Founder:': 'Rafael Soto'}, {'Country:': 'Mexico'}, {'Industry:': 'e-Commerce'}, {'Started in:': '2005'}, {'Closed in:': '2006'}, {'Funding Amount:': '$0'}, {'Specific cause of failure:': 'Bad Market Fit'}]","[{'Founder:': 'Nicolas Tranchant'}, {'Country:': 'Mexico'}, {'Industry:': 'e-Commerce'}, {'Started in:': '2012'}, {'Closed in:': '2014'}, {'Funding Amount:': '$0'}, {'Specific cause of failure:': 'Bad Marketing'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[{'Founder:': 'Stepa Mitaki'}, {'Country:': 'Russia'}, {'Industry:': 'Software & Hardware'}, {'Started in:': '2014'}, {'Closed in:': '2016'}, {'Funding Amount:': '< $100K'}, {'Specific cause of failure:': 'No Market Need'}]","[{'Founder:': 'Miloslav Voloskov'}, {'Country:': 'Russia'}, {'Industry:': 'Software & Hardware'}, {'Started in:': '2018'}, {'Closed in:': '2018'}, {'Funding Amount:': '$0'}, {'Specific cause of failure:': 'Other'}]","[{'Founder:': 'Vladimir Esaulov'}, {'Country:': 'Russia'}, {'Industry:': 'Marketing'}, {'Started in:': '2020'}, {'Closed in:': '2020'}, {'Funding Amount:': '$0'}, {'Specific cause of failure:': 'Lack of Experience'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
